"Site_number","Country","Type_1","Type_2","Site_block","Catchment_PC1","Catchment_PC2","Riparian_PC1","Riparian_PC2"
1,"BE","FOR","LDS","DOR_LDS",0.307212490622974,0.533280197035045,-0.369044061071328,0.0850527148384927
1,"NO","FOR","FOR","AKE_FOR",-1.58986144994487,0.244481910300407,0.802582683047918,0.129072269961774
1,"RO","FOR","FOR","ARG_FOR",0.187235762805896,0.209555384346489,0.0962273823159814,0.938942858130992
10,"BE","FBF","PAIR","MOZ_PAIR",0.533627400231003,0.015728192961873,-0.201149596449541,0.489727372535066
10,"RO","FBF","PAIR","BRI_PAIR",0.159422721885322,0.0425631319974657,-0.247457811108826,1.06395336952045
10,"SE","FOR","FOR","OVE_FOR",-0.788566612591897,0.777563814674812,1.22774122462094,0.00620437169698942
11,"BE","FBF","PAIR","KOU_PAIR",0.255895039281865,0.52965098315882,-0.396704915461013,-0.454583587415843
11,"RO","UBF","PAIR","BRA_PAIR",0.206238055736501,0.246785482038494,-0.897788512858973,-0.0426656841968742
11,"SE","UBF","PAIR","ORS_PAIR",-0.356965856466617,0.795870082692786,0.290051682481697,-0.0351247808266309
12,"NO","FOR","FOR","FRO_FOR",-1.51308101215939,-0.128161948394177,-0.4764944542867,0.101249491797297
12,"RO","FBF","PAIR","BRA_PAIR",0.241134312319115,0.365319095237016,-0.272149013150498,0.32732506307155
12,"SE","FBF","PAIR","ORS_PAIR",-0.399580268251531,0.732812868740798,0.487936957423724,0.121040562414843
13,"NO","FOR","FOR","FRO_FOR",-0.780771315434915,-0.443820128139065,0.60293365307548,0.0557299491049537
13,"RO","UBF","PAIR","SLA_PAIR",0.5779641029789,-0.470763535146847,-0.937942516310889,-0.11185082179799
13,"SE","UBF","PAIR","TEM_PAIR",-0.178355924356119,0.64042622925146,0.0333847609029472,0.444358792675009
14,"NO","UBF","PAIR","FRO_PAIR",-0.344066054730796,-0.524446093687401,0.382820088539168,-0.250093956998723
14,"RO","FBF","PAIR","SLA_PAIR",0.602735886856694,-0.396567925235219,-0.275758278018988,0.680422923649036
14,"SE","FBF","PAIR","TEM_PAIR",-0.496560762969665,0.528182517074805,0.930080478769432,-0.27162430098451
15,"BE","FBF","PAIR","VAA_PAIR",0.779366269250318,0.586439016609397,-0.666085802509558,-0.0804450020784431
15,"NO","FBF","PAIR","FRO_PAIR",-0.392865417607897,-0.554123274302643,0.309714901503602,-0.0942683451083512
15,"RO","UBF","PAIR","BUG_PAIR",0.933999974391623,-0.191333084532183,-0.952559332351318,-0.494519133639024
15,"SE","UBF","PAIR","JUM_PAIR",-0.848979469658384,0.550037584689654,-0.0319433774958938,0.109434906171812
16,"NO","UBF","LON","FRO_LON",-0.239246105751906,-0.887803162897168,0.0580137140199693,-0.349735213330835
16,"RO","FBF","PAIR","BUG_PAIR",0.819889182921055,-0.180499529613092,-0.180828744776449,0.644709882311264
16,"SE","FBF","PAIR","JUM_PAIR",-0.776975265161831,0.53767997420994,0.525958541352387,-0.0932881035427473
17,"NO","UBF","LON","FRO_LON",-0.193719660819355,-0.970709474943635,0.234175710469416,-0.277098948665253
17,"RO","UBF","PAIR","COB_PAIR",0.302236331562002,0.00031147173525973,-1.00487390993408,-0.907965987781367
17,"SE","UBF","PAIR","LIS_PAIR",-0.0254010884143296,0.0430937340610936,-0.517638438075306,-0.541629288200748
18,"NO","UBF","PAIR","GAU_PAIR",0.212403983982531,-1.5368427371597,-0.395376801020887,-1.07490201615724
18,"RO","FBF","PAIR","COB_PAIR",0.38650552737201,-0.032852034915634,0.207218843004734,0.774809954794658
18,"SE","FBF","PAIR","LIS_PAIR",-0.0184706777589507,0.043845567438477,1.15149500459719,-0.0154347911155916
19,"NO","FBF","PAIR","GAU_PAIR",0.255224843777116,-1.55087386215027,0.40724755785221,-0.274509070041852
19,"RO","UBF","PAIR","POT_PAIR",0.661092885413559,-0.155977351896232,-0.830562713928116,-0.307872929657539
19,"SE","UBF","PAIR","BUR_PAIR",-0.405731372520946,0.562958259300253,-0.00461695008941402,0.366760708368688
2,"BE","FOR","LDS","VER_LDS",0.223894020167013,0.333690767650844,-0.378393944755226,0.666044751882341
2,"NO","UBF","PAIR","AKE_PAIR",-1.32991974815782,-0.0684347928086948,-0.295278407247094,-0.664766499488327
2,"RO","FOR","FOR","TAR_FOR",-0.0107332219880175,0.411453431625102,-0.24628030633373,1.04890899839519
20,"NO","FOR","FOR","HSK_FOR",-0.970728007132005,-0.242398428298407,0.299675380006994,-0.433694489316239
20,"RO","FBF","PAIR","POT_PAIR",0.630874474735937,-0.0535955705973415,-0.0452356657020249,1.07834271342455
20,"SE","FBF","PAIR","BUR_PAIR",-0.401929813154804,0.566801936096492,0.983006358095446,-0.0426051139022172
21,"NO","UBF","PAIR","HSK_PAIR",-0.549994036372772,-0.356593413218699,0.0603978650744842,0.0571793503447378
21,"RO","UBF","PAIR","STR_PAIR",0.512393528063664,0.163809815206437,-0.730284926056964,1.10905348770585
21,"SE","UBF","PAIR","SKA_PAIR",-0.418797807228485,0.534794720451558,-0.459539787801204,-0.175752022745066
22,"NO","FBF","PAIR","HSK_PAIR",-0.657475719369528,-0.629748956431554,0.556486513578253,0.181580121215674
22,"RO","FBF","PAIR","STR_PAIR",0.655136479783162,0.190798849902159,0.00943575755064285,0.262699842737198
22,"SE","FBF","PAIR","SKA_PAIR",-0.371481558940662,0.446057328993896,1.18039764832716,-0.311497497568436
23,"RO","UBF","PAIR","POA_PAIR",0.500633341391285,0.0932638641437128,-0.78578415224458,1.00494124938288
23,"SE","UBF","PAIR","HAG_PAIR",-0.225183359547052,0.244104096866063,-0.319110706180578,0.675880720606124
24,"BE","UBF","PAIR","MOL_PAIR",0.483094153144348,0.588025133269328,-0.878177569181199,0.154011867814537
24,"NO","FOR","FOR","HMI_FOR",-0.49696819082615,-0.487590515695802,0.442737702985633,-0.226681692486204
24,"RO","FBF","PAIR","POA_PAIR",0.635427438636075,0.0721881065926664,-0.482356613475599,0.977473309403245
24,"SE","FBF","PAIR","HAG_PAIR",-0.241873980306233,0.231921519025092,0.788339233165844,-0.0880378501595276
25,"BE","UBF","PAIR","VAA_PAIR",0.944173600592742,0.574906588534239,-0.397851337343063,-0.294908579350601
25,"NO","UBF","PAIR","HMI_PAIR",-0.360645146967574,-0.766002413518531,0.293378638067503,-0.311547709160456
25,"RO","UBF","PAIR","ALB_PAIR",0.802710141363749,-0.0890916972313137,-0.639983500742706,0.673733599007981
25,"SE","UBF","PAIR","NAR_PAIR",-0.483042790981544,0.42745824689953,0.340549704532675,0.191181757933715
26,"BE","UBF","PAIR","SLI_PAIR",0.492222279766397,0.450052124329829,-0.705882548233628,-0.612616059025549
26,"NO","FBF","PAIR","HMI_PAIR",-0.149619532925689,-0.65988123965712,0.527332467655163,0.126483408723328
26,"RO","FBF","PAIR","ALB_PAIR",0.691654382870755,-0.129830597164026,-0.389245364016272,1.54006125284407
26,"SE","FBF","PAIR","NAR_PAIR",-0.449155301453434,0.391644026941897,0.884268833407326,0.0191034190050801
27,"BE","UBF","PAIR","ROO_PAIR",0.870003768777467,0.568533767862865,-0.941506658841854,-0.402343430638772
27,"SE","UBF","PAIR","LAN_PAIR",-1.08157479266695,0.663611281143457,0.469107917106365,0.349304725529994
28,"BE","UBF","PAIR","WUR_PAIR",0.371116139118773,0.362297036640677,-0.711610809284488,-1.13690821291548
28,"NO","UBF","PAIR","HMA_PAIR",0.204797637525598,-1.45575908006835,0.242136065882725,-0.472741048322216
28,"SE","FBF","PAIR","LAN_PAIR",-1.04641738953005,0.656486033179705,0.912078528905968,0.103157503808338
29,"BE","UBF","PAIR","BOE_PAIR",0.724032654925561,0.497585048213421,-0.789219597127465,-1.25097803914599
29,"NO","FBF","PAIR","HMA_PAIR",0.122705555184178,-1.5159027051688,0.410064186675176,-0.477021397530435
29,"SE","UBF","PAIR","ALO_PAIR",-0.239275547766226,0.638000158865419,0.303827467254535,-0.43618428516984
3,"BE","FBF","PAIR","MOL_PAIR",0.427650419724507,0.598867356896204,-0.174832808754311,-0.102205737560223
3,"NO","FBF","PAIR","AKE_PAIR",-1.24238727282273,-0.0905530547151843,0.309710578602211,-0.064881915416904
3,"RO","FOR","FOR","BUG_FOR",0.06374682138963,0.114080899059351,-0.013014576645411,0.839307129791881
30,"BE","UBF","PAIR","ZIJ_PAIR",0.736098629894645,0.504119302240532,-1.00849414329892,-0.958013465639457
30,"SE","FBF","PAIR","ALO_PAIR",-0.269541145850888,0.608471782109306,0.718630001536174,-0.347231976019748
31,"BE","UBF","PAIR","MOZ_PAIR",0.544303333874631,0.301211872044762,-0.805182244052456,-0.272101692401194
31,"NO","FOR","FOR","MAE_FOR",0.115629548038556,-1.56182206157712,0.115170082613724,-0.421486879283287
32,"BE","UBF","PAIR","KOU_PAIR",0.970783713153874,0.497226227675037,-0.924258651424534,-0.445130565397859
32,"NO","UBF","PAIR","MAE_PAIR",0.101432002365275,-1.53352525737453,0.0356575649253635,-1.0291830137616
33,"BE","FOR","LDS","SAS_LDS",-0.522631077746325,-0.0916876451886721,0.120146251357459,-0.313393147253388
33,"NO","FBF","PAIR","MAE_PAIR",0.138616473926779,-1.57918449151721,0.672800730760492,-0.4267139904023
34,"BE","FOR","LDS","ROO_LDS",0.0255968082726605,0.275875389232081,-0.0938791183718848,-0.524591192385661
35,"NO","UBF","PAIR","SAN_PAIR",-0.26442264252428,-0.521383372679356,-0.413386699709687,-0.642965165933965
36,"NO","FBF","PAIR","SAN_PAIR",-0.251198860590481,-0.530364949230089,0.115462860076353,-0.206191117060748
4,"BE","FOR","LDS","VAA_LDS",0.551887772637747,0.65858430309713,-0.369325878336272,-0.301859030632379
4,"RO","FOR","FOR","BRI_FOR",0.203738337827386,0.0060789632516188,-0.159750562071462,1.02929334374833
5,"BE","FBF","PAIR","SLI_PAIR",1.20653399640261,0.377095980109741,0.0436541221236671,-0.494153418256816
5,"NO","FOR","FOR","ALN_FOR",-0.692566801401435,-0.426759416048944,0.538316146015077,-0.195649945302969
5,"RO","FOR","FOR","BRA_FOR",0.0889732146504456,0.235520732684672,-0.252324735385283,0.688272556064526
6,"BE","FBF","PAIR","ROO_PAIR",0.589904965773285,0.603976250203737,-0.701980269827907,-0.271407533227386
6,"NO","UBF","PAIR","ALN_PAIR",0.0159388622651358,-1.24845243612636,0.17812331142841,-0.575077491061455
6,"RO","FOR","FOR","VLA_FOR",0.279783557483505,-0.118126356429957,0.255661473681568,0.803265054280474
7,"BE","FBF","PAIR","WUR_PAIR",0.719882885745642,0.344734101700642,-0.0345826032742752,0.120598320091404
7,"NO","FBF","PAIR","ALN_PAIR",0.0299693083464661,-1.27905486255555,0.454322640559014,-0.188489901297167
7,"RO","UBF","PAIR","ARG_PAIR",0.867590112365336,0.0116228233788517,-0.450403445357844,1.39095530020978
7,"SE","FOR","FOR","GRA_FOR",-1.4431412313427,0.71206038281705,0.719909681639809,0.211720667928479
8,"BE","FBF","PAIR","BOE_PAIR",0.517824682542934,0.435135157572633,-0.183765742614209,-0.287830446756563
8,"NO","UBF","PAIR","HOV_PAIR",-0.495305446675382,-0.864040114703039,0.307844201856441,-0.506432225297893
8,"RO","FBF","PAIR","ARG_PAIR",0.977782598131165,0.0706435796108735,-0.233352031458393,1.18922973336769
8,"SE","FOR","FOR","LAF_FOR",-0.618829592592517,0.424807159442203,1.09389962081805,-0.172410815253088
9,"BE","FBF","PAIR","ZIJ_PAIR",0.748540663333437,0.488524948663986,0.0167843338004079,-0.394690004836497
9,"NO","FBF","PAIR","HOV_PAIR",-0.485169997464588,-0.891724604832331,0.276199194885896,-0.347188840600695
9,"RO","UBF","PAIR","BRI_PAIR",0.227057831757766,0.0488633042869322,-0.630729583762136,-0.276009299672517
9,"SE","FOR","FOR","FIB_FOR",-1.3171125784129,0.804712279784194,0.916991624420339,0.136732427332551
